id,ACTION
1,0.845638
2,0.983962
3,0.988039
4,0.987676
5,0.998138
6,0.993600
7,0.964407
8,0.999615
9,0.913810
10,0.970330
11,0.958202
12,0.963135
13,0.983005
14,0.794107
15,0.947861
16,0.969523
17,0.757265
18,0.826539
19,0.993972
20,0.990711
21,0.997782
22,0.985796
23,0.945125
24,0.967687
25,0.984589
26,0.931304
27,0.985015
28,0.938580
29,0.977827
30,0.942504
31,0.984720
32,0.975467
33,0.980301
34,0.991022
35,0.983952
36,0.978014
37,0.985124
38,0.998745
39,0.978719
40,0.956225
41,0.942363
42,0.985418
43,0.987151
44,0.991480
45,0.987707
46,0.973345
47,0.997288
48,0.968556
49,0.999696
50,0.993307
51,0.978893
52,0.989363
53,0.984506
54,0.995427
55,0.968246
56,0.980787
57,0.983648
58,0.998016
59,0.989410
60,0.980461
61,0.989523
62,0.994737
63,0.969201
64,0.994177
65,0.997240
66,0.983691
67,0.975345
68,0.997563
69,0.978796
70,0.754224
71,0.966772
72,0.987859
73,0.991719
74,0.995096
75,0.984858
76,0.995790
77,0.995558
78,0.923785
79,0.718501
80,0.995197
81,0.998222
82,0.988389
83,0.968429
84,0.991008
85,0.975288
86,0.939787
87,0.969157
88,0.994856
89,0.989674
90,0.900459
91,0.983262
92,0.799384
93,0.992395
94,0.967029
95,0.985691
96,0.991977
97,0.568966
98,0.995370
99,0.986882
100,0.993494
101,0.968253
102,0.366018
103,0.988065
104,0.981084
105,0.635230
106,0.993179
107,0.997941
108,0.957718
109,0.983885
110,0.973623
111,0.820231
112,0.965616
113,0.966118
114,0.993876
115,0.968241
116,0.966254
117,0.977661
118,0.952954
119,0.998009
120,0.982766
121,0.958007
122,0.983522
123,0.857766
124,0.993810
125,0.982036
126,0.823086
127,0.715604
128,0.936300
129,0.905758
130,0.980427
131,0.994143
132,0.993669
133,0.981849
134,0.888283
135,0.995608
136,0.930617
137,0.993337
138,0.938321
139,0.921430
140,0.996813
141,0.996424
142,0.946885
143,0.990929
144,0.988794
145,0.997665
146,0.696902
147,0.811985
148,0.848355
149,0.997624
150,0.978170
151,0.994976
152,0.923037
153,0.989341
154,0.938267
155,0.955546
156,0.952718
157,0.984532
158,0.986628
159,0.986111
160,0.944715
161,0.934388
162,0.994315
163,0.996313
164,0.958238
165,0.981554
166,0.998866
167,0.962543
168,0.981180
169,0.982298
170,0.992558
171,0.993690
172,0.985423
173,0.971302
174,0.987212
175,0.981475
176,0.998198
177,0.948205
178,0.992466
179,0.998093
180,0.876632
181,0.625359
182,0.971496
183,0.961748
184,0.909200
