id,ACTION
1,0.926926
2,0.979428
3,0.996673
4,0.995793
5,0.999295
6,0.997136
7,0.959611
8,0.999902
9,0.925436
10,0.972725
11,0.974700
12,0.978141
13,0.992160
14,0.802862
15,0.947064
16,0.959338
17,0.614357
18,0.813973
19,0.997898
20,0.996345
21,0.999197
22,0.993538
23,0.976577
24,0.980611
25,0.995024
26,0.943278
27,0.993310
28,0.985760
29,0.983186
30,0.916947
31,0.993177
32,0.983505
33,0.992667
34,0.995112
35,0.992067
36,0.986734
37,0.991894
38,0.999771
39,0.991010
40,0.965897
41,0.951403
42,0.992368
43,0.990579
44,0.994845
45,0.995444
46,0.987446
47,0.999097
48,0.984440
49,0.999942
50,0.998308
51,0.987773
52,0.994568
53,0.987178
54,0.997811
55,0.980485
56,0.993126
57,0.988902
58,0.999316
59,0.993826
60,0.991424
61,0.996159
62,0.998206
63,0.984946
64,0.997780
65,0.998668
66,0.991484
67,0.990542
68,0.999017
69,0.990327
70,0.727749
71,0.985265
72,0.988880
73,0.996604
74,0.998303
75,0.989831
76,0.998843
77,0.998053
78,0.967124
79,0.696291
80,0.998740
81,0.999575
82,0.996242
83,0.966904
84,0.996385
85,0.990465
86,0.959781
87,0.980209
88,0.998138
89,0.995278
90,0.858366
91,0.991991
92,0.793492
93,0.997594
94,0.987374
95,0.991418
96,0.998511
97,0.464011
98,0.998277
99,0.994025
100,0.997770
101,0.978626
102,0.346983
103,0.996280
104,0.989348
105,0.473363
106,0.996323
107,0.999184
108,0.977510
109,0.990697
110,0.983348
111,0.843619
112,0.978896
113,0.984220
114,0.999097
115,0.978431
116,0.973339
117,0.990181
118,0.955606
119,0.999268
120,0.988515
121,0.952277
122,0.990656
123,0.897549
124,0.997685
125,0.990721
126,0.839516
127,0.794858
128,0.954324
129,0.935206
130,0.995153
131,0.997496
132,0.998084
133,0.992279
134,0.909601
135,0.998915
136,0.965133
137,0.997346
138,0.936218
139,0.959887
140,0.998988
141,0.998418
142,0.971461
143,0.995213
144,0.995205
145,0.999579
146,0.704475
147,0.780922
148,0.820603
149,0.999206
150,0.987496
151,0.998334
152,0.856507
153,0.994964
154,0.960160
155,0.976129
156,0.968019
157,0.992725
158,0.992466
159,0.976611
160,0.971747
161,0.955882
162,0.996852
163,0.998571
164,0.977979
165,0.990792
166,0.999667
167,0.975639
168,0.992099
169,0.989226
170,0.996301
171,0.997585
172,0.993257
173,0.963472
174,0.995362
175,0.989987
176,0.999358
177,0.960274
178,0.995505
179,0.999494
180,0.925760
181,0.676861
182,0.987695
183,0.943776
184,0.918179
185,0.991143
186,0.973942
187,0.997941
188,0.987426
189,0.612156
190,0.992577
191,0.999574
192,0.996436
193,0.997733
194,0.995485
195,0.968962
196,0.997501
197,0.991614
198,0.976943
199,0.993892
200,0.882906
201,0.996194
202,0.988813
203,0.957637
204,0.993525
205,0.999002
206,0.989426
207,0.995357
208,0.987423
209,0.664378
210,0.770570
211,0.957173
212,0.991919
213,0.998395
214,0.982572
215,0.992071
216,0.911195
217,0.952671
218,0.995780
219,0.996099
220,0.977511
221,0.441229
222,0.999416
223,0.999485
224,0.992548
225,0.959341
226,0.786144
227,0.972751
228,0.990666
229,0.998775
230,0.995468
231,0.983403
232,0.958800
233,0.967445
234,0.117860
235,0.907642
236,0.965192
237,0.969637
238,0.984324
239,0.913218
240,0.998469
241,0.983169
242,0.752616
243,0.481561
244,0.991950
245,0.986960
246,0.999285
247,0.983631
248,0.984311
249,0.988338
250,0.997718
251,0.996616
252,0.964037
253,0.998617
254,0.999140
255,0.999107
256,0.976878
257,0.985738
258,0.943087
259,0.989638
260,0.998723
261,0.993225
262,0.969362
263,0.996018
264,0.998323
265,0.998002
266,0.991429
267,0.981572
268,0.997590
269,0.985070
270,0.995618
271,0.995536
272,0.972983
273,0.995432
274,0.613145
275,0.998329
276,0.938980
277,0.997270
278,0.999085
279,0.986970
280,0.946104
281,0.999629
282,0.998999
283,0.957467
284,0.952244
285,0.997753
286,0.992092
287,0.999564
288,0.996801
289,0.994068
290,0.995456
291,0.651764
292,0.912247
293,0.992195
294,0.986558
295,0.993479
296,0.439239
297,0.691068
298,0.979878
299,0.883650
300,0.996901
301,0.832646
302,0.997342
303,0.564704
304,0.906008
305,0.994190
306,0.995201
307,0.981847
308,0.999553
309,0.938291
310,0.982888
311,0.998689
312,0.996716
313,0.995003
314,0.998827
315,0.999283
316,0.996232
317,0.963401
318,0.996711
319,0.740131
320,0.998820
321,0.996389
322,0.414407
323,0.999689
324,0.992360
325,0.964609
326,0.922445
327,0.995760
328,0.998905
329,0.997571
330,0.994802
331,0.995787
332,0.971151
333,0.993667
334,0.934194
335,0.993527
336,0.982429
337,0.988658
338,0.993748
339,0.990877
340,0.994543
341,0.998837
342,0.989616
343,0.981349
344,0.999493
345,0.999090
346,0.997356
347,0.989123
348,0.984343
349,0.998008
350,0.958403
351,0.974520
352,0.999689
353,0.985051
354,0.884744
355,0.983962
356,0.996942
357,0.994055
358,0.996112
359,0.973303
360,0.545862
361,0.960009
362,0.983881
363,0.975718
364,0.917321
365,0.999439
366,0.999425
367,0.993782
368,0.999006
369,0.992225
370,0.997594
371,0.986525
372,0.995147
373,0.797382
374,0.279865
375,0.955630
376,0.993166
377,0.688765
378,0.991693
379,0.997761
380,0.910845
381,0.859236
382,0.984933
383,0.999698
384,0.991817
385,0.991352
386,0.984449
387,0.848813
388,0.981753
389,0.992765
390,0.993765
391,0.913935
392,0.997618
393,0.948474
394,0.991608
395,0.977252
396,0.991782
397,0.999659
398,0.983964
399,0.996297
400,0.996048
401,0.996808
402,0.993373
403,0.983770
404,0.973851
405,0.998766
406,0.989777
407,0.930107
408,0.994949
409,0.970018
410,0.997960
411,0.997914
412,0.961065
413,0.863615
414,0.996652
415,0.988804
416,0.938030
417,0.989505
418,0.993730
419,0.993965
420,0.992649
421,0.998946
422,0.990560
423,0.958755
424,0.844945
425,0.995560
426,0.973984
427,0.997216
428,0.992951
429,0.961302
430,0.999299
431,0.987604
432,0.990191
433,0.986927
434,0.983485
435,0.993491
436,0.999569
437,0.996216
438,0.179144
439,0.977133
440,0.456560
441,0.992807
442,0.999825
443,0.996390
444,0.995283
445,0.956569
446,0.997959
447,0.891546
448,0.996041
449,0.988593
450,0.983044
451,0.929575
452,0.990561
453,0.997989
454,0.953590
455,0.992986
456,0.993233
457,0.998691
458,0.997814
459,0.996904
460,0.723846
461,0.929908
462,0.998952
463,0.993981
464,0.993749
465,0.983346
466,0.997924
467,0.376806
468,0.982082
469,0.991657
